1000,Zebedee,Jindra,883-920-6710,6
1001,Karry,Jeanet,459-340-1505,7
1002,Meredith,Amberger,836-314-7970,4
1003,Debra,McSparran,637-350-2326,0
1004,Lulu,Neiland,522-515-2876,5
1005,Gleda,Moorhouse,135-255-1985,7
1006,Ursulina,Iliffe,597-143-4807,0
1007,Ardys,Bims,759-823-6915,8
1008,Cyndia,Utton,408-378-2533,11
1009,Ricki,Standen,861-301-1048,9
1010,Hoyt,Wims,727-726-5041,7
1011,Noak,Edwin,463-339-7902,0
1012,Darcey,Albery,131-938-1321,5
1013,Peggy,Mundie,104-796-8099,5
1014,Merrel,Beetham,180-928-0748,22
1015,Alphonso,Burrill,713-689-3327,0
1016,Sybila,Iveagh,488-720-9742,3
1017,Trixie,Lukacs,382-419-8692,2
1018,Dexter,Oliveira,913-899-3715,6
1019,Elke,McCool,181-386-9814,0
1020,Cosetta,Henrie,516-633-3951,9
1021,Robinet,Schieferstein,359-676-8637,0
1022,Jerrome,McGahey,331-619-1900,6
1023,Lowe,Scotchbrook,263-843-5480,8
1024,Kimmi,Haney,815-893-1164,0
1025,Marika,Willgrass,785-503-6102,3
1026,Aloysia,Henrionot,425-709-7560,4
1027,Concordia,Strangman,283-775-7280,0
1028,Ambros,Golds,621-427-4325,14
1029,Irwin,Stailey,455-972-9326,6
1030,Megan,McFee,735-212-0297,1
1031,Lek,Cotterrill,331-132-6002,0
1032,Maureen,McEvon,523-138-1600,2
1033,Meridel,Harrowell,921-605-7378,9
1034,Harrison,Varden,297-604-1186,9
1035,Darsie,Soppit,575-875-5452,8
1036,Kirstin,Dwelley,412-139-5883,13
1037,Paddy,Ridgwell,612-776-0203,0
1038,Carlynn,Moreton,236-516-8160,5
1039,Barrett,Itzig,711-667-5224,8
1040,Henderson,Earp,685-657-1713,6
1041,Cazzie,Crichley,499-151-7287,4
1042,Norah,Watmore,440-457-0159,23
1043,Emilie,Yakovlev,957-759-4201,0
1044,See,Wolton,292-774-2101,5
1045,Dorine,Marusic,613-884-3241,0
1046,Catrina,Yerby,780-778-4624,4
1047,Janeen,Wooderson,589-447-4518,4
1048,Rudy,Morando,113-571-8829,0
1049,Cassandry,Anfonsi,404-347-0273,0
